role,category,skills,tools,description,next_skills
Data Analyst,Data Analytics,"python sql excel statistics data cleaning data visualization dashboards reporting","Pandas Power BI Tableau Excel","Analyses structured data and builds reports and dashboards for business decisions.","advanced sql power bi statistics"
Business Intelligence Analyst,Data Analytics,"sql excel data visualization dashboards reporting business intelligence data modelling","Power BI Tableau SQL Excel","Transforms organisational data into interactive dashboards and business insights.","dax data warehousing power query"
Data Scientist,Data Science,"python sql statistics machine learning data analysis data visualization experimentation predictive modelling","Pandas NumPy Scikit-learn Jupyter","Builds analytical and predictive models to extract insights from complex datasets.","deep learning feature engineering mlops"
Machine Learning Engineer,Artificial Intelligence,"python machine learning deep learning algorithms model deployment api data pipelines software engineering","Scikit-learn TensorFlow PyTorch FastAPI Docker","Develops, deploys and maintains machine-learning systems for production use.","mlops kubernetes cloud monitoring"
AI Engineer,Artificial Intelligence,"python artificial intelligence machine learning deep learning natural language processing computer vision generative ai","TensorFlow PyTorch Hugging Face OpenAI APIs","Builds intelligent applications using machine-learning and AI models.","llm rag vector databases mlops"
Deep Learning Engineer,Artificial Intelligence,"python neural networks deep learning computer vision natural language processing mathematics optimization","TensorFlow PyTorch CUDA Keras","Designs and trains neural-network models for complex AI problems.","transformers gpu programming mlops"
NLP Engineer,Artificial Intelligence,"python natural language processing machine learning deep learning text analysis transformers linguistics","Hugging Face spaCy NLTK PyTorch","Builds systems that understand, classify and generate human language.","llm fine tuning rag vector databases"
Computer Vision Engineer,Artificial Intelligence,"python computer vision image processing deep learning neural networks object detection video analysis","OpenCV TensorFlow PyTorch YOLO","Develops systems that analyse images and videos.","image segmentation transformers mlops"
Generative AI Engineer,Artificial Intelligence,"python generative ai large language models prompt engineering natural language processing machine learning","Hugging Face LangChain OpenAI APIs Vector Databases","Builds applications using large language models and generative AI.","rag fine tuning evaluation agents"
MLOps Engineer,Artificial Intelligence,"python machine learning model deployment devops cloud automation monitoring data pipelines","Docker Kubernetes MLflow GitHub Actions AWS","Automates deployment monitoring and maintenance of machine-learning models.","terraform cloud architecture model governance"
Backend Developer,Software Development,"python java javascript api databases sql object oriented programming data structures backend development","Django FastAPI Spring Boot PostgreSQL","Develops server-side application logic databases and APIs.","system design caching microservices"
Frontend Developer,Software Development,"javascript html css web development user interface responsive design frontend development","React Next.js TypeScript Tailwind CSS","Builds responsive and interactive interfaces for web applications.","testing accessibility performance optimisation"
Full Stack Developer,Software Development,"javascript python html css databases sql api frontend backend web development","React Node.js Django PostgreSQL","Develops both client-side and server-side parts of web applications.","cloud deployment system design devops"
Mobile App Developer,Software Development,"java kotlin swift dart mobile development user interface api databases","Flutter Android Studio React Native Firebase","Creates mobile applications for Android and iOS devices.","mobile testing app security deployment"
Software Engineer,Software Development,"programming algorithms data structures object oriented programming databases testing software design","Python Java C++ Git","Designs develops tests and maintains software systems.","system design design patterns cloud"
DevOps Engineer,Cloud and DevOps,"linux cloud automation continuous integration continuous deployment containers networking scripting","Docker Kubernetes Jenkins GitHub Actions AWS","Automates software delivery infrastructure and deployment processes.","terraform monitoring security"
Cloud Engineer,Cloud and DevOps,"cloud computing linux networking security automation databases containers","AWS Azure Google Cloud Docker Terraform","Designs and manages cloud infrastructure and cloud-based services.","kubernetes cloud architecture devops"
Cloud Architect,Cloud and DevOps,"cloud computing system design networking security databases scalability distributed systems","AWS Azure Google Cloud Terraform Kubernetes","Designs scalable secure and reliable cloud solutions.","cost optimisation governance multi cloud"
Cybersecurity Analyst,Cybersecurity,"cybersecurity networking linux threat detection security analysis incident response risk assessment","Wireshark SIEM Kali Linux Splunk","Monitors systems identifies threats and responds to security incidents.","penetration testing cloud security forensics"
Penetration Tester,Cybersecurity,"cybersecurity ethical hacking networking linux vulnerability assessment web security scripting","Kali Linux Metasploit Burp Suite Nmap","Finds and demonstrates security vulnerabilities through authorised testing.","exploit development cloud security reporting"
Database Administrator,Data and Infrastructure,"sql databases data modelling backup recovery performance tuning security","PostgreSQL MySQL Oracle SQL Server","Maintains secure reliable and high-performing database systems.","cloud databases automation replication"
Data Engineer,Data Engineering,"python sql databases data pipelines data warehousing big data cloud etl","Apache Spark Airflow Kafka Snowflake","Builds pipelines and infrastructure for collecting and processing data.","stream processing cloud architecture dbt"
QA Automation Engineer,Software Quality,"python java testing automation software quality api testing debugging","Selenium PyTest Postman Jenkins","Creates automated tests to ensure software quality and reliability.","performance testing security testing devops"
Product Analyst,Product and Business,"sql data analysis statistics experimentation dashboards product metrics user behaviour","Amplitude Mixpanel Power BI Excel","Uses data to evaluate product performance and user behaviour.","a b testing product strategy storytelling"
